id,mahkeme,daire,esas,karar,tarih,group,domain,era,compositeScore,uniquenessScore,qualityScore,sourceScore,ratioOzeti
"62781600","Yargıtay","Hukuk Genel Kurulu","2011/640","2012/89","22.02.2011","hgk","usul_hukuk","y2010_2019","0.909","0.864","0.927","0.95","de dahil tüm davalıların zamanaşımı savunmasının süresinde olduğuna ilişkin saptaması ve buna bağlı olarak bu davalının zamanaşımı defini kabul etmesi ve tüm davalılar hakkında aynı hükme varması kural olarak yerindedir. Ne var ki, yine aynı Kanunun 209.maddesi hükmüne göre, zamanaşımı definin süresinde yapılmadığını ileri süren davacı tarafın da, davalının cevap dilekçesinin kendilerine tebliğinden itibaren yine 10 günlük süre içerisinde, zamanaşımı savunmasının yasal süresi"
"77453600","Yargıtay","Hukuk Genel Kurulu","2013/561","2013/733","22.05.2013","hgk","is_sgk","y2010_2019","0.907","0.821","0.946","0.95","Bu genel açıklamalardan sonra, zaman bakımından 6100 sayılı Hukuk Muhakemeleri Kanunu (HMK)'nun ilgili hükmüne de değinmek gerekir: 
HMK'nun ""Zaman Bakımından Uygulanma"" başlığını taşıyan 448/1.maddesi; 
""(1) Bu Kanun hükümleri, tamamlanmış işlemleri etkilememek kaydıyla derh&acirc;l uygulanır"" 
hükmünü içermektedir. HUKUK GENEL KURULU KARARI
Hukuk Genel Kurulu'nca incelenerek direnme kararının süresinde temyiz edildiği anlaşıldıktan ve dosyadaki kağıtlar okunduktan sonra ger"
"84226400","Yargıtay","Hukuk Genel Kurulu","2012/1615","2013/777","29.05.2013","hgk","is_sgk","y2010_2019","0.906","0.881","0.909","0.95","Maddesinin kamu düzeni etkisinin ilke olarak, işverene karşı ve yalnız işçinin yararına olduğu, burada işçinin değil işverenin sözleşme serbestisinin kısıtlandığı, bu nedenle anılan maddenin yetki ile ilgili genel hükümleri kaldırmadığı, sadece genel hükümlerle birlikte öngörmüş olduğu, iş yeri esasına dayanan yetkiyi bertaraf edecek anlaşmaları geçersiz kılacağı, geçersizliğin sadece işvereni hedef tuttuğu anlaşılmaktadır (Çemberci M.: İş Mahkemeleri Kanunu Şerhi, Güzel İsta"
"77595500","Yargıtay","Hukuk Genel Kurulu","2013/254","2013/1504","30.10.2013","hgk","is_sgk","y2010_2019","0.902","0.855","0.915","0.95","I-Mahkemenin bozma ilamının (2) numaralı bendinde yer alan ve fesih nedenine ilişkin direnme kararının incelenmesinde;
İş sözleşmesi kural olarak, feshi ihbar sonucu veya belirli bir süre için yapılmışsa, bu sürenin dolmasıyla ortadan kalkar. ""İşverenin haklı nedenle derhal fesih hakkı"" başlıklı 25.madde uyarınca:
""Süresi belirli olsun veya olmasın işveren, aşağıda yazılı hallerde iş sözleşmesini sürenin bitiminden önce veya bildirim süresini beklemeksizin feshedebilir:
I-Sağ"
"77657900","Yargıtay","Hukuk Genel Kurulu","2012/556","2012/1357","26.12.2012","hgk","icra_iflas","y2010_2019","0.894","0.816","0.915","0.95","Açıklanan ilkeler çerçevesinde somut olay irdelendiğinde; uyuşmazlığın harca ilişkin bulunması ve harcın kamu düzenini ilgilendirmesi karşısında karşı tarafın bozmaya karşı beyanı alınmadan mahkemece direnme kararı verilmesinde usul ve yasaya bir aykırılık olmadığı yapılan görüşmeler sonunda oybirliği ile kabul edilmiştir. Eş anlatımla, hakim kural olarak Yargıtay bozma kararına uymak ya da bu karara karşı direnme kararı vermek konusunda tarafların istekleri ile bağlı olmayıp"
"77248200","Yargıtay","Ceza Genel Kurulu","2011/256","2011/283","20.12.2011","cgk","is_sgk","y2010_2019","0.894","0.863","0.89","0.95","maddesinde suçtan zarar gören gerçek ve tüzel kişiler ile malen sorumlu olanların davaya katılabilecekleri kabul edilmiş, ancak yasa yolu muhakemesinde bu hakkın kullanılamayacağı esası benimsenmiştir. maddesi uyarınca cezalandırılması istemiyle kamu davası açıldığı, iddianamede Çeşme Belediye Başkanlığının ihbar eden olarak gösterildiği, Çeşme Asliye Ceza Mahkemesince duruşma gününün Çeşme Belediye Başkanlığına bildirildiği, 
23.03.2007 tarihli duruşma tutanağında Çeşme Bele"
"17003800","Yargıtay","Hukuk Genel Kurulu","2010/394","2010/395","14.07.2010","hgk","usul_hukuk","y2010_2019","0.893","0.825","0.909","0.95","Sözleşmenin ve buna bağlı temlikin, değinilen bu özellikleri nedeniyle, taşınmazı inanç sözleşmesi ile satan kimsenin artık sadece, ödünç almış olduğu parayı geri vererek taşınmazını kendisine temlik edilmesini istemek yolunda bir alacak hakkı; taşınmazı, inanç sözleşmesi ile alan kimsenin de borcun ödenmesi gününe kadar taşınmazı başkasına satmamak ve borç ödenince de geri vermek yolunda bir borcu kalmıştır. Taraflar böyle bir sözleşme ve buna bağlı işlemle genellikle, temin"
"17170400","Yargıtay","Hukuk Genel Kurulu","2011/364","2011/453","29.06.2011","hgk","miras","y2010_2019","0.893","0.855","0.89","0.95","Islahın konusu, tarafların yapmış oldukları usul işlemleri olduğuna göre, ıslahla düzeltilecek usul işlemlerinin neler olduğundan söz edilmesinde yarar vardır:






Gerek öğreti gerekse Yargıtay, ıslah yoluyla davanın değiştirebileceğini ve genişletilebileceğini, aynı şekilde savunmanın genişletilebileceğini ilke olarak kabul etmektedir. Davacı vekilinin 13.01.2003 tarihli dava dilekçesi ile 33 parsel nolu taşınmaz yönünden ketm-i verese iddiasına dayalı olarak tapu iptali v"
"77426500","Yargıtay","Hukuk Genel Kurulu","2012/1694","2013/855","19.06.2013","hgk","is_sgk","y2010_2019","0.893","0.877","0.878","0.95","Somut uyuşmazlığın yasal dayanağını oluşturan 506 sayılı Sosyal Sigortalar Kanunu (SSK)'nun ""Sigortalı sayılmayanlar"" başlıklı 3/II-A bendi;
""II - Aşağıda belirtilenler hakkında bazı sigorta kolları uygulanmaz:
A)Malüllük, yaşlılık ve ölüm sigortaları, bir işveren emrinde çalışan ve Türk uyruklu olmıyan kimselerden Kurumdan yazılı istekte bulunanlar hakkında ve istek tarihinden sonraki ay başından başlanarak uygulanır&hellip;"" düzenlemesini içermektedir. Türk uyruklu olmayan "
"77276900","Yargıtay","Hukuk Genel Kurulu","2011/473","2011/607","12.10.2011","hgk","ticaret","y2010_2019","0.89","0.81","0.909","0.95","Öncelikle, alacağın dayanağını teşkil eden kambiyo senedinin hukuksal niteliğini irdelemekte yarar vardır:
Bütün mücerret alacaklarda olduğu gibi kambiyo senedi alacağı da kural olarak, uygun bir asıl borç ilişkisine, bir illi ilişkiye dayanır. Bu nedenle bir illete bağlı olması gerekmez ve kural olarak ispat yükü senedin bedelsiz olduğunu iddia eden tarafa aittir."
"17159600","Yargıtay","Hukuk Genel Kurulu","2011/556","2011/689","23.11.2011","hgk","usul_hukuk","y2010_2019","0.889","0.805","0.909","0.95","Davalı vekilinin temyizi üzerine; Özel Dairece, kooperatife ait bir gayrimenkulün satışının sıkı şekil koşullarına bağlı olup genel kurul kararını gerektirdiği, bu konuda yöntemine uygun genel kurul kararı bulunup bulunmadığının tespitinin önem kazandığı, satışa ilişkin yöntemine uygun genel kurul kararı bulunmadığının tespit edildiği, davanın reddine karar verilmesi gerektiği gerekçeleri ile hükmün bozulmasına karar verilmiştir. Dosya kapsamından; çekişme konusu kat mülkiyet"
"76738200","Yargıtay","Ceza Genel Kurulu","2009/111","2010/38","23.02.2010","cgk","ticaret","y2010_2019","0.888","0.832","0.89","0.95","Ancak, sabit kabul edilen eylemler, örgütsel suç kapsamında değerlendirilmeyip somut olayda olduğu gibi bağımsız suçlar olarak değerlendirildiği takdirde, Özel Ağır Ceza Mahkemesinin yargılama yönteminin kendine özgü ve belli suçlarla sınırlı olması gerçeği karşısında, yapılması gereken işlemin, 5271 sayılı CYY'nın 252/1-g bendi hükmü de nazara alınmak suretiyle, görevsizlik kararı verilerek, dosyanın görevli ve yetkili mahkemeye gönderilmesi olacağı esası kabul edilmiştir. A"
"77459000","Yargıtay","Hukuk Genel Kurulu","2012/1924","2013/882","26.06.2013","hgk","is_sgk","y2010_2019","0.885","0.896","0.846","0.95","Harcırah Yönetmeliğinin ""Genel Hükümler"" başlıklı 22/F maddesine göre, asli görev mahalli dışındaki bir yere kendi isteği ile harcırahsız olarak geçici görevli veya daimi olarak nakil talebinde bulunanlara naklin gerçekleşmesinden sonra harcırah talep etmeleri halinde de harcırah ödenmeyeceğini belirterek, davanın reddini savunmuştur. Bilindiği üzere, harcırah (yolluk); kamuda statü hukukuna tabi çalışanlar için öngörülmüş olup, kamu hizmetinin gerektirdiği durumlarda, bu hiz"
"435832300","Yargıtay","Büyük Genel Kurulu","2016/3","2016/3","13.05.2016","yibk","ticaret","y2010_2019","0.884","0.861","0.821","1","Söz konusu genel kurulda ""kurucu hisselerin ödenmiş sermayenin 200.000 TL lik bölümü ile sınırlı olarak gerekli karşılıklar ayrıldıktan sonra net kardan %5 pay alma hakları bulunduğu” oybirliği ile kabul edilmiştir. Dolayısıyla davacının genel kurulda kabul edilen ana sözleşme değişikliği ile kar payı hakkı yönünden getirilen kısıtlamalara karşı çıkarak aradaki farkı talep etme hakkı, ilke olarak, mümkündür."
"76699500","Yargıtay","Hukuk Genel Kurulu","2010/47","2010/74","17.02.2010","hgk","miras","y2010_2019","0.883","0.813","0.89","0.95","Bundan başka ceza mahkemesi kararı, kusurun takdiri ve zararın miktarını tayin hususunda dahi hukuk hakimini takyit etmez."" şeklinde düzenlenmiş ve kural olarak bağımsızlık ilkesi benimsenmiştir. Bu hükümle, hakimin ölenin ailesine adalete uygun tazminat verilmesine karar verebileceği kabul edilmiştir."
"77474300","Yargıtay","Ceza Genel Kurulu","2013/641","2013/623","24.12.2013","cgk","ticaret","y2010_2019","0.883","0.811","0.89","0.95","Maddenin üçüncü fıkrasında, infaz kurumu veya tutukevine yasak eşya sokma suçlarının tutuklu veya hükümlülerin muhafazasıyla görevli kişiler tarafından işlenmesi, bu suçlar açısından daha ağır cezayı gerektiren bir hal olarak kabul edilmiş ve verilecek cezanın bir kat artırılacağı hüküm altına alınmıştır. Bu fıkrada yazılı suçun oluşabilmesi için maddede belirtilen seçimlik hareketlerin herhangi birisinin yapılmış olması gerekir."
"52033600","Yargıtay","Hukuk Genel Kurulu","2012/843","2013/253","20.02.2013","hgk","is_sgk","y2010_2019","0.882","0.841","0.871","0.95","Taraflarca getirilme (hazırlama) ilkesinin uygulandığı davalarda, deliller kural olarak taraflarca gösterilir; h&acirc;kim, delillere kendiliğinden başvuramaz (Kuru Baki, Arslan Ramazan, Yılmaz Ejder, Medeni Usul Hukuku Ders Kitabı, Ankara 2011, 22. B)Taraflarca hazırlama ilkesinin uygulandığı davalarda; deliller kural olarak taraflarca gösterilir; h&acirc;kim delillere kendiliğinden başvuramaz."
"87582600","Yargıtay","Hukuk Genel Kurulu","2013/224","2013/1478","23.10.2013","hgk","icra_iflas","y2010_2019","0.882","0.838","0.871","0.95","Öncelikle belirtilmelidir ki, kanun koyucu ilke olarak borçlunun alacaklısından mal kaçırmak amacı ile yaptığı işlemleri ne muvazaa nedeniyle; ne de mülga 818 sayılı Borçlar Kanunu(BK)'nun 20. Bu tür işlemlerin muvazaalı olarak değil, fakat inançlı olarak kabulü gerekir."
"76980000","Yargıtay","Hukuk Genel Kurulu","2010/477","2010/531","20.10.2010","hgk","ticaret","y2010_2019","0.881","0.803","0.89","0.95","Gerek bu yasal düzenleme gerek iç yönetmelik hükümleri gerek yerleşik uygulama itibariyle; Hukuk Genel Kurulu'ndaki bir dava dosyasının görüşmesinin içtihadı birleştirme nedeniyle geri bırakılabilmesi için, bu konuda yetkili Yargıtay Birinci Başkanlık Kurulu'nun istem konusu ile ilgili olarak içtihadı birleştirme yoluna gitmeye gerek olduğuna ilişkin karar alması ve dosyanın raportöre tevdii edilmiş bulunması gerekir. Eldeki davanın görüşüldüğü tarih itibariyle işin esasını e"
"76803500","Yargıtay","Ceza Genel Kurulu","2010/46","2010/93","27.04.2010","cgk","ceza_genel","y2010_2019","0.881","0.803","0.89","0.95","Görüleceği üzere, adli sicil kaydının silinip, bilgilerin arşive alınması için infazın tamamlanması yeterli kabul edilmiştir. maddesinde ve diğer bazı yasalarda ""affa uğramış olsalar bile"" ibaresinin bulunması nedeniyle, hırsızlık suçlarına ait kaydın arşivden çıkartılmasına yasal olanak bulunmadığı gerekçesiyle yerel mahkeme hükmünün yasa yararına bozulmasına ve yeniden yargılama yapılarak bozma doğrultusunda karar verilmek üzere dosyanın mahalline gönderilmesine karar veril"
"435825000","Yargıtay","Büyük Genel Kurulu","2016/5","2016/5","13.05.2016","yibk","ceza_genel","y2010_2019","0.877","0.851","0.809","1","Zira, yasada bir paydaşın payının üçüncü şahsa satması halinde önalım hakkının varlığı kabul edilmiştir. Dava hakkına ilişkin bu hususun davanın her aşamasında kendiliğinden göz önünde bulundurulması gerekir."
"86472400","Yargıtay","Hukuk Genel Kurulu","2012/869","2013/375","20.03.2013","hgk","usul_hukuk","y2010_2019","0.877","0.858","0.846","0.95","Kural olarak Devletin hüküm ve tasarrufu altında bulunan yerlerin olağanüstü zamanaşımı veya başka bir yoldan kazanılması ve tapu siciline tescil edilmeleri mümkün değildir. Nitekim, nehir ve çay gibi akarsuların eski(terk edilmiş, metruk) yatakları, kural olarak Devletin hüküm ve tasarrufu altında bulunan yerlerdendir."
"76757400","Yargıtay","Ceza Genel Kurulu","2010/33","2010/58","23.03.2010","cgk","usul_hukuk","y2010_2019","0.877","0.885","0.83","0.95","Öncelikle ifade etmek gerekir ki, 5326 sayılı Yasada kabahatler yönünden hem maddi ceza hukuku konularına, hem de usul hukuku konularına yer verilmiş, 5237 ve 5271 sayılı Yasa hükümlerinin uygulanması gerek Kabahatler Yasasının konuluş amacı; gerekçesinde özetle, bu düzenleme ile, özellikle ekonomik hayata ilişkin düzenlemelerde kazuistik olarak idari yaptırım öngören ve bir sistemden yoksun olan hükümlerin önüne geçebilmek ve ayrıca hukuk uygulamasında birliği ve hukuk güven"
"76805700","Yargıtay","Ceza Genel Kurulu","2010/73","2010/97","27.04.2010","cgk","ceza_genel","y2010_2019","0.875","0.861","0.84","0.95","Oysa devlet organlarının kendi hata, kusur veya kastı sonucu yapılan işlemin hukuka aykırı olması halinde, hak sahibinin iyi niyetinin korunması gerekir. Hukuk devletinde Devlet, görevlilerini göreve getirirken hak bilinciyle yetiştirmek zorundadır."
"457378000","Yargıtay","Hukuk Genel Kurulu","2011/663","2011/801","16.12.2011","hgk","usul_hukuk","y2010_2019","0.874","0.776","0.886","0.95","maddesinde sayılan koruma tedbirinin uygulanmasından kaynaklanan tazminat istemine ilişkin bulunması nedeniyle, 5271 sayılı Ceza Muhakemesi Kanunu’nun 141-144 maddeleri gereğince Ağır Ceza Mahkemesinin görevli olduğu” gerekçesiyle “dava dilekçesinin reddine” dair oyçokluğuyla verilen karar, davacı tarafın temyizi üzerine Hukuk Genel Kurulu’na gelmiştir. Görev sorununun çözümü, iddianın kapsamı ve davanın konusu itibariyle uygulanması gereken mevzuatın, 5271 sayılı Ceza Muhake"
"77437800","Yargıtay","Hukuk Genel Kurulu","2012/1712","2013/865","19.06.2013","hgk","is_sgk","y2010_2019","0.874","0.759","0.896","0.95","sayılı kararlarında da, benimsenmiştir) 
Dava açmaktaki hukuki yarar için; hukuk düzenince kabul edilmiş meşru bir yarar olmalı, bu yarar dava açan hak sahibi ile ilgili olmalı ve dava açıldığı sırada halen mevcut bulunmalıdır. Mülga 1086 sayılı Hukuk Muhakemeleri Usulü Kanunu'nun yürürlükte olduğu dönem de, öğreti ve yargısal kararlarda, hukuki yarar, ""dava şartı"" olarak kabul edilmiştir."
"17156500","Yargıtay","Hukuk Genel Kurulu","2011/617","2011/749","14.12.2011","hgk","ticaret","y2010_2019","0.873","0.755","0.896","0.95","SONUÇ: Davalı vekilinin temyiz itirazlarının kabulü ile direnme kararının Özel Daire bozma kararında ve yukarıda gösterilen nedenlerden dolayı 6217 sayılı Kanunun 30.maddesi ile 6100 sayılı Hukuk Muhakemeleri Kanunu'na eklenen ""Geçici madde 3"" atfıyla uygulanmakta olan 1086 sayılı Hukuk Usulü Muhakemeleri Kanunu'nun 429. asıl alacak ve ferileri için talepte bulunulmuştur.Davalı borçlunun itirazı yapılan ödemelerle ilgili değildir.İtiraz faturada belirtilen malın miktarındadır"
"16895500","Yargıtay","Hukuk Genel Kurulu","2010/281","2010/323","16.06.2010","hgk","miras","y2010_2019","0.872","0.869","0.828","0.95","Hemen belirtmek gerekir ki; bu tür uyuşmazlıkların sağlıklı, adil ve doğru bir çözüme ulaştırılabilmesi, davalıya yapılan temlikin gerçek yönünün, diğer bir söyleyişle miras bırakanın asıl irade ve amacının duraksamaya yer bırakmayacak biçimde ortaya çıkarılmasına bağlıdır. Hemen belirtmek gerekir ki, gerçekten de Türk Medeni Kanununun 677.maddesi hükmü uyarınca mirasçılarının miras payları üzerinde birbirleriyle yapacakları pay temliklerinin yazılı olmak koşulu ile geçerli o"
"76902400","Yargıtay","Hukuk Genel Kurulu","2010/386","2010/427","29.09.2010","hgk","miras","y2010_2019","0.871","0.81","0.859","0.95","Nitekim bu husus Kanunun 11.maddesinin 1.fıkrasında açıkça belirtilmiş, ancak yasada tersine kural bulunması halinde şekle bağlılık kabul edilmiştir. Borçlar Kanunu, kural olarak sözleşmelerde şekil serbestisini benimsemiştir."
"45607800","Yargıtay","Ceza Genel Kurulu","2012/1270","2013/248","21.05.2013","cgk","ticaret","y2010_2019","0.871","0.841","0.84","0.95","İcra Hukuk Mahkemesinin 2004/471 esas sayılı dosyasında 09.07.2004 tarihinde ihalenin feshi davası açtığı, hakimliğini Aydın'ın, zabıt katipliğini ise Kamer'in yaptığı mahkemece 25.04.2006 gün ve 471-239 sayı ile davanın reddine ve katılandan % 10 para cezası alınmasına karar verildiği, katılan tarafından temyiz edilen bu kararın Yargıtay 12. Hukuk Dairesince 18.07.2006 gün ve 13051-15897 sayı ile onandığı, tashihi karar talebi de 24.11.2006 tarihinde reddedilen katılanın 11."
"76940900","Yargıtay","Hukuk Genel Kurulu","2010/493","2010/491","13.10.2010","hgk","icra_iflas","y2010_2019","0.87","0.772","0.878","0.95","Bu nedenle, 1086 sayılı Hukuk Usulü Muhakemeleri Kanunu'nun 317.maddesinin 2.cümlesinden yararlanarak soruna bir çözüm getirmek gerektiği yargısal uygulamada kabul edilmiştir (Hukuk Genel Kurulu'nun 22.01.2003 gün ve 2003/12-3 E.2003/28 K.; 06.02.2008 gün ve 2008/12-77 E. İnkar edilen imzanın borçluya ait olduğu anlaşılırsa ve itiraz ile birlikte takip ikinci fıkraya göre durdurulmuşsa, borçlu sözü edilen senede dayanan takip konusu alacağın yüzde kırkından aşağı olmamak üzer"
"435834300","Yargıtay","Büyük Genel Kurulu","2016/2","2016/2","13.05.2016","yibk","icra_iflas","y2010_2019","0.868","0.876","0.771","1","maddesinin farklı bir anlam yüklenemeyecek kadar açık ve kesin bir kanun hükmü olmadığını, madde metni düzenlemesi dikkate alındığında farklı anlamların çıkarılabileceği belirtilerek farklı bir anlam yüklenemeyecek kadar açık ve kesin bir kanun hükmü bulunmadığı bu nedenle de sorumluluk şartlarının oluşmadığı kabul edilmiştir. Değeri para ile ölçülemeyen dava ve işlerde ise avukatlık asgari ücret tarifesi uygulanır."
"76987300","Yargıtay","Hukuk Genel Kurulu","2011/38","2011/225","27.04.2011","hgk","miras","y2010_2019","0.867","0.769","0.871","0.95","Yerel Mahkemece, ""temlik işleminin tarafları arasında akrabalık bulunduğu ve İçtihadı Birleştirme Kararı kapsamında kaldığı, payın davalıya hibe edildiğinin anlaşıldığı"" gerekçesiyle davanın reddine dair verilen karar davacı vekilinin temyizi üzerine Özel Dairece yukarıda açıklanan gerekçelerle bozulmuştur. Bu ihtiyacın gereği olarak paydaşlar arasına yabancı bir kişinin girişini engellemek, taşınmazın daha küçük parçalara ayrılmasını önleyebilmek, hisselerin mümkün olduğu ka"
"84006500","Yargıtay","Ceza Genel Kurulu","2012/1543","2013/257","21.05.2013","cgk","icra_iflas","y2010_2019","0.865","0.87","0.809","0.95","Ceza hukukunda kanundaki suç tanımına uygun olarak gerçekleşen her netice ilke olarak ayrı bir suç oluşturur ve fail kaç netice meydana getirmiş ise o kadar suç işlemiş sayılarak her birinden dolayı ayrı ve bağımsız cezalandırılır. Mağduru belli bir kişi olmayan suçlarda da bu fıkra hükmü uygulanır” biçiminde düzenlenmiştir."
"77452000","Yargıtay","Hukuk Genel Kurulu","2013/437","2013/1703","25.12.2013","hgk","is_sgk","y2010_2019","0.864","0.778","0.859","0.95","Buna göre, daha önce sosyal güvenlik kanunlarında yer almayan, boşanılan eşle fiilen birlikte yaşama olgusu, gelir veya aylık kesme nedeni ve bağlama engeli olarak benimsenmiştir. Bu gelir ve aylıkların durum değişikliği nedeniyle artırılması, azaltılması, kesilmesi veya yeniden bağlanmasında, bu Kanunla yürürlükten kaldırılan ilgili kanun hükümleri uygulanır&hellip; 
Bu Kanunun 4'üncü maddesinin birinci fıkrasının (a) ve (b) bentlerine"
